Bulan,Hari,Tanggal,Jenis Pengukuran,Test,Parameter,Telkomsel,IOH,XL Axiata,Longitude,Latitude,Kabupaten/Kota,Alamat,Keterangan
April,Jum'at,4/4/2025,Route Test,Route Test,DL speed (Mbps),32.38,15.79,17.55,122.277207,-4.336377,Konawe Selatan,RT Pertigaan Kiaea - Ktr Bupati Konsel,Posko After Idul Fitri
April,Minggu,4/6/2025,Route Test,Route Test,Durations,21.15,22.14,21.18,122.687100,-4.173800,Konawe Selatan,RT Sambuli - UPPKB Moramo,Posko After Idul Fitri
April,Minggu,4/6/2025,Route Test,Route Test,Distance (km),10.549,10.545,10.544,122.687100,-4.173800,Konawe Selatan,RT Sambuli - UPPKB Moramo,Posko After Idul Fitri
April,Minggu,4/6/2025,Route Test,Route Test,DL speed (Mbps),5,3.07,4.14,122.687100,-4.173800,Konawe Selatan,RT Sambuli - UPPKB Moramo,Posko After Idul Fitri
April,Minggu,4/6/2025,Route Test,Route Test,Durations,22.01,12.38,20.44,122.687100,-4.173800,Konawe Selatan,RT UPPKB Moramo - J. Poros Lapuko,Posko After Idul Fitri
April,Minggu,4/6/2025,Route Test,Route Test,Distance (km),10.77,9.275,10.816,122.687100,-4.173800,Konawe Selatan,RT UPPKB Moramo - J. Poros Lapuko,Posko After Idul Fitri
April,Minggu,4/6/2025,Route Test,Route Test,DL speed (Mbps),4.83,24.54,45.82,122.687100,-4.173800,Konawe Selatan,RT UPPKB Moramo - J. Poros Lapuko,Posko After Idul Fitri
April,Minggu,4/6/2025,Route Test,Route Test,Durations,19.29,24.28,24.27,122.707000,-4.309700,Konawe Selatan,RT Jl. Poros Lapuko -  Kantor Desa Awunio,Posko After Idul Fitri
April,Minggu,4/6/2025,Route Test,Route Test,Distance (km),12.138,15.139,15.14,122.707000,-4.309700,Konawe Selatan,RT Jl. Poros Lapuko -  Kantor Desa Awunio,Posko After Idul Fitri
April,Minggu,4/6/2025,Route Test,Route Test,DL speed (Mbps),6.03,4.16,1.84,122.707000,-4.309700,Konawe Selatan,RT Jl. Poros Lapuko -  Kantor Desa Awunio,Posko After Idul Fitri
Maret,Rabu,3/26/2025,Static Test,Speed Test,DL (Mbps),16.67,22.56,0,122.473200,-4.303000,Konawe Selatan,Pos Punggaluku,Posko Before Idul Fitri
Maret,Rabu,3/26/2025,Static Test,Speed Test,UL (Mbps),11.85,7.55,0,122.473200,-4.303000,Konawe Selatan,Pos Punggaluku,Posko Before Idul Fitri
Maret,Rabu,3/26/2025,Static Test,Speed Test,Ping (ms),2.2,159,0,122.473200,-4.303000,Konawe Selatan,Pos Punggaluku,Posko Before Idul Fitri
Maret,Rabu,3/26/2025,Static Test,Web Test,Loading time (ms),4.2,281,30.2,122.473200,-4.303000,Konawe Selatan,Pos Punggaluku,Posko Before Idul Fitri
Maret,Rabu,3/26/2025,Static Test,Web Test,Throughput W (Mbps),0.61,0.41,0,122.473200,-4.303000,Konawe Selatan,Pos Punggaluku,Posko Before Idul Fitri
Maret,Rabu,3/26/2025,Static Test,Video Test,Initial Buffering (ms),504,0,0,122.473200,-4.303000,Konawe Selatan,Pos Punggaluku,Posko Before Idul Fitri
Maret,Rabu,3/26/2025,Static Test,Video Test,Throughput V (Mbps),2.51,2.07,0,122.473200,-4.303000,Konawe Selatan,Pos Punggaluku,Posko Before Idul Fitri
Maret,Rabu,3/26/2025,Static Test,Speed Test,DL (Mbps),12.37,0.44,5.13,122.453800,-4.445400,Konawe Selatan,Pelabuhan Torobulu,Posko Before Idul Fitri
Maret,Rabu,3/26/2025,Static Test,Speed Test,UL (Mbps),0,3.46,3.91,122.453800,-4.445400,Konawe Selatan,Pelabuhan Torobulu,Posko Before Idul Fitri
Maret,Rabu,3/26/2025,Static Test,Speed Test,Ping (ms),1.17,338,244,122.453800,-4.445400,Konawe Selatan,Pelabuhan Torobulu,Posko Before Idul Fitri
Maret,Rabu,3/26/2025,Static Test,Web Test,Loading time (ms),3.39,615,523,122.453800,-4.445400,Konawe Selatan,Pelabuhan Torobulu,Posko Before Idul Fitri
